site_name,survey_id,year,depth,visibility,count,family,genus,species,common_name
Andros,3321,2016,14.1,25,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
San Salvador,440,2016,14.27,25,2,Dasyatidae,Hypanus,americanus,Southern stingray
San Salvador,424,2016,14.43,25,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Conception,234,2016,14.5,25,1,Dasyatidae,Hypanus,americanus,Southern stingray
Conception,234,2016,14.5,25,1,Carcharhinidae,Galeocerdo,cuvier,Tiger shark
Conception,234,2016,14.5,25,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Conception,234,2016,14.5,25,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
Andros,3335,2016,14.6,25,2,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
Andros,3335,2016,14.6,25,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Andros,3334,2016,14.7,25,1,Dasyatidae,Hypanus,americanus,Southern stingray
Andros,3334,2016,14.7,25,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
Andros,3305,2016,15,25,1,Carcharhinidae,Carcharhinus,acronotus,Blacknose shark
Andros,481,2016,15,25,1,Dasyatidae,Hypanus,americanus,Southern stingray
San Salvador,439,2016,15,25,1,Dasyatidae,Hypanus,americanus,Southern stingray
Andros,477,2016,15.1,25,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Andros,471,2016,15.4,25,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Andros,3319,2016,15.5,25,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
Conception,240,2016,15.57,25,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
Conception,240,2016,15.57,25,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Conception,240,2016,15.57,25,1,Carcharhinidae,Negaprion,brevirostris,Lemon shark
Andros,534,2016,15.9,25,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
Andros,3324,2016,16,25,3,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
Andros,3324,2016,16,25,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Andros,492,2016,16,25,1,Dasyatidae,Hypanus,americanus,Southern stingray
Andros,492,2016,16,25,2,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
Andros,496,2016,16.6,25,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
Andros,3314,2016,16.7,25,1,Carcharhinidae,Unknown,sp.,Requiem Shark
Andros,472,2016,16.9,25,3,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
Andros,472,2016,16.9,25,1,Dasyatidae,Hypanus,americanus,Southern stingray
Andros,485,2016,17.3,25,2,Carcharhinidae,Rhizoprionodon,sp.,Sharpnose shark (Atlantic/Carib)
Andros,476,2016,17.4,25,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Andros,476,2016,17.4,25,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
Andros,522,2016,17.5,25,1,Carcharhinidae,Negaprion,brevirostris,Lemon shark
Andros,3307,2016,17.9,25,1,Dasyatidae,Hypanus,americanus,Southern stingray
Andros,3303,2016,17.9,25,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Andros,3295,2016,17.9,25,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
Andros,3307,2016,17.9,25,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
Andros,3303,2016,17.9,25,1,Carcharhinidae,Negaprion,brevirostris,Lemon shark
Andros,3298,2016,18,25,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
Andros,490,2016,18,25,1,Dasyatidae,Hypanus,americanus,Southern stingray
Andros,490,2016,18,25,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
Andros,454,2016,18.1,25,2,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
Andros,454,2016,18.1,25,1,Dasyatidae,Hypanus,americanus,Southern stingray
Conception,261,2016,18.45,25,2,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Conception,261,2016,18.45,25,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
